"county","cor_within","cor_without"
"Margibi",0.0340304549481205,0.0234130426702353
"Montserrado",0.0520321608371202,0.04160104258238
"Bong",0.109898482761451,0.0912021913421822
"Grand Bassa",0.114098928806522,0.0934829941786784
"Nimba",0.121589527192722,0.11452231275269
"River Gee",0.12534384088942,0.109089140280052
"Grand Cape Mount",0.128307825950927,0.162770397952254
"Lofa",0.138353901344476,0.125424614666408
"Grand Kru",0.140979573723351,0.15177489024912
"Grand Gedeh",0.156858398836093,0.0977042250038266
"Sinoe",0.157270825275945,0.123247092809428
"Maryland",0.168351137845812,0.178833965984902
"Bomi",0.185492248883135,0.136992459422021
"Gbarpolu",0.235750907107333,0.150516893732938
"Rivercess",0.237625535214279,0.231023724544918
