"county","cor_within","cor_without"
"Montserrado",0.0563412028292038,0.0539049527738027
"Margibi",0.0872698423402585,0.0785075812279607
"Grand Gedeh",0.146819382066275,0.203240083167998
"River Gee",0.189898186270774,0.187349997061519
"Sinoe",0.211631377152129,0.220914694919264
"Grand Bassa",0.228003594672251,0.236636399047768
"Nimba",0.24096870736125,0.243773293460433
"Grand Kru",0.243977480575688,0.147846314177835
"Grand Cape Mount",0.270958772064579,0.28178015546532
"Rivercess",0.271032476111998,0.295885488884034
"Bong",0.284132421801077,0.293732820764325
"Maryland",0.294158172010714,0.23131906461794
"Gbarpolu",0.359020480619956,0.363895375392718
"Lofa",0.432160528872998,0.426762435419007
"Bomi",0.432393226107606,0.386542012380061
